Case,Theta,Phi,X,Y,Z,err,temTh,temPh,cost,fev
Case1,2.3316507975861747,4.466952054322987,(-0.7025423054979042-1.3877787807814457e-17j),(0.17597768650996165+0j),(-0.6895405447370669-1.8770130709362843e-17j),0.05875902459480656,2.3316507975861747,4.466952054322987,0.9996593804103788,8375
Case1,2.405281875404685,4.417864669110647,(-0.6725920786065908-1.3877787807814457e-17j),(0.18546048048753627+0j),(-0.7152458350460129-9.725541587975606e-18j),0.006379286583027471,2.36846633649543,4.442408361716817,0.9995090850596574,8369
Case1,2.356194490192345,4.417864669110647,(-0.673947719266786-1.3877787807814457e-17j),(0.19206107491208374+0j),(-0.7125328170928578-3.4434304617807463e-18j),0.01141915149088843,2.364375721061068,4.434227130848093,0.9998732166595752,8384
Case1,2.380738182798515,4.466952054322987,(-0.672679759135026-6.938893903907228e-18j),(0.18593197758676466+0j),(-0.7154613835575101-2.3838243376504004e-19j),0.006978651665317831,2.36846633649543,4.442408361716817,0.9998947574340581,8387
Case1,2.380738182798515,4.466952054322987,(-0.67191898305597-2.7755575615628915e-18j),(0.1822545191915732+0j),(-0.7172185234363015+1.684646383044384e-18j),0.008852246056245655,2.370920705756047,4.447317100238051,0.9998947574340581,8363
Case1Fin,2.356194490192345,4.417864669110647,(-0.67191898305597-2.7755575615628915e-18j),(0.1822545191915732+0j),(-0.7172185234363015+1.684646383044384e-18j),0.008852246056245655,2.370920705756047,4.447317100238051,0.9999931419348752,8369
Case2,1.1290098598838318,5.203262832508095,(-0.7972473803488028-2.7755575615628914e-17j),(-0.42613760290403124+0j),(0.4275550934302823+4.919051387055455e-18j),0.054575838722029146,1.1290098598838318,5.203262832508095,0.9996711748623724,8393
Case2,1.0062913968529805,5.154175447295755,(-0.7804929787958532+0j),(-0.39367952396463834+0j),(0.48127635665868973-8.394219533356977e-19j),0.04835790499872078,1.0676506283684062,5.178719139901925,0.9976957989926845,8381
Case2,1.055378782065321,5.252350217720435,(-0.7690948210182335+0j),(-0.4115577192483627+0j),(0.48515030184905444+6.794579656253759e-18j),0.0457518126829809,1.0635600129340446,5.203262832508095,0.9991698367445371,8357
Case2,1.055378782065321,5.154175447295755,(-0.773458446775742+6.938893903907228e-18j),(-0.4016708206302616+0j),(0.48708727444423683+1.833209925769138e-18j),0.05321205813875579,1.0615147052168636,5.19099098620501,0.9992011998898828,8378
Case2,1.2026409377023426,5.154175447295755,(-0.7874498575621693+5.551115123125783e-18j),(-0.40111782115932276+0j),(0.4616488268623871-4.870517485277976e-18j),0.022437044322285493,1.0897399517139594,5.1836278784231595,0.9965016673029765,8393
Case2Fin,1.0799224746714913,5.203262832508095,(-0.7874498575621693+5.551115123125783e-18j),(-0.40111782115932276+0j),(0.4616488268623871-4.870517485277976e-18j),0.022437044322285493,1.0897399517139594,5.1836278784231595,0.999928144611368,8372
Case3,0.3190680038802134,1.8162332528565992,(0.3042810917433823+6.938893903907228e-18j),(0.0762184457144916+0j),(0.9495281805930367+2.5844569081410165e-17j),0.01918807777751813,0.3190680038802134,1.8162332528565992,0.9999622021679947,8468
